#[0]step() [1]time(s) [2]m0_rho(C/m^3*vol) [3]m1_rho_cos(C/m^3*vol) [4]m1_rho_sin(C/m^3*vol) [5]m1_rho_ratio()
0 0.00000000000000e+00 3.22120662750931e+09 2.84342251276174e+06 1.38432226176691e+06 9.81774636584761e-04
32 1.60000000000000e-10 3.22120662750931e+09 2.84334117333265e+06 1.38433237616038e+06 9.81753307592027e-04
64 3.20000000000000e-10 3.22120662750931e+09 2.84308610513146e+06 1.38436601734531e+06 9.81686685834870e-04
96 4.79999999999999e-10 3.22120662750931e+09 2.84265679983480e+06 1.38442895796716e+06 9.81575418166473e-04
128 6.39999999999999e-10 3.22120662750931e+09 2.84204429836148e+06 1.38451725992393e+06 9.81416476193647e-04
160 7.99999999999998e-10 3.22120662750931e+09 2.84127654461962e+06 1.38466996873474e+06 9.81222978892419e-04
192 9.59999999999998e-10 3.22120662750931e+09 2.84033277764273e+06 1.38489580779421e+06 9.80990337541420e-04
224 1.12000000000000e-09 3.22120662750931e+09 2.83927171663474e+06 1.38520958694458e+06 9.80736977200657e-04
256 1.28000000000000e-09 3.22120662750931e+09 2.83807133690127e+06 1.38565211302769e+06 9.80462340350470e-04
288 1.44000000000001e-09 3.22120662750931e+09 2.83675950775819e+06 1.38622142975044e+06 9.80173981946767e-04
320 1.60000000000001e-09 3.22120662750931e+09 2.83536191335820e+06 1.38694727509916e+06 9.79883173342725e-04
352 1.76000000000001e-09 3.22120662750931e+09 2.83386071360304e+06 1.38787938726926e+06 9.79591798675302e-04
384 1.92000000000001e-09 3.22120662750931e+09 2.83222043772543e+06 1.38904860110474e+06 9.79294288531231e-04
416 2.08000000000001e-09 3.22120662750931e+09 2.83062269766635e+06 1.39057174065936e+06 9.79057381264056e-04
448 2.24000000000000e-09 3.22120662750931e+09 2.82897385062229e+06 1.39243252409303e+06 9.78852945371084e-04
480 2.40000000000000e-09 3.22120662750931e+09 2.82725456647732e+06 1.39477864036500e+06 9.78696113774680e-04
512 2.56000000000000e-09 3.22120662750931e+09 2.82542815727236e+06 1.39755828868532e+06 9.78569942816132e-04
544 2.71999999999999e-09 3.22120662750931e+09 2.82358986171014e+06 1.40086215820098e+06 9.78513856412638e-04
576 2.87999999999999e-09 3.22120662750931e+09 2.82173491594677e+06 1.40477960940754e+06 9.78539423978676e-04
608 3.03999999999999e-09 3.22120662750931e+09 2.81989116472296e+06 1.40936146986818e+06 9.78662144817589e-04
