# Belova B2 mirror-compression ramp (dimensionless fraction, smooth).
# Half-cosine ramp with dense sampling for smoother interpolation.
t,frac
0.00000000e+00,0.00000000
5.00000000e-08,0.00154133
1.00000000e-07,0.00615583
1.50000000e-07,0.01381504
2.00000000e-07,0.02447174
2.50000000e-07,0.03806023
3.00000000e-07,0.05449674
3.50000000e-07,0.07367992
4.00000000e-07,0.09549150
4.50000000e-07,0.11979702
5.00000000e-07,0.14644661
5.50000000e-07,0.17527598
6.00000000e-07,0.20610737
6.50000000e-07,0.23875072
7.00000000e-07,0.27300475
7.50000000e-07,0.30865828
8.00000000e-07,0.34549150
8.50000000e-07,0.38327732
9.00000000e-07,0.42178277
9.50000000e-07,0.46077045
1.00000000e-06,0.50000000
1.05000000e-06,0.53922955
1.10000000e-06,0.57821723
1.15000000e-06,0.61672268
1.20000000e-06,0.65450850
1.25000000e-06,0.69134172
1.30000000e-06,0.72699525
1.35000000e-06,0.76124928
1.40000000e-06,0.79389263
1.45000000e-06,0.82472402
1.50000000e-06,0.85355339
1.55000000e-06,0.88020298
1.60000000e-06,0.90450850
1.65000000e-06,0.92632008
1.70000000e-06,0.94550326
1.75000000e-06,0.96193977
1.80000000e-06,0.97552826
1.85000000e-06,0.98618496
1.90000000e-06,0.99384417
1.95000000e-06,0.99845867
2.00000000e-06,1.00000000
1.00000000e-05,1.00000000
