# Belova B2 mirror-compression ramp (dimensionless fraction, smooth).
# Half-cosine ramp with dense sampling for smoother interpolation.
t,frac
0.00000000e+00,0.00000000e+00
5.00000000e-08,1.50449219e-04
1.00000000e-07,1.15812500e-03
1.50000000e-07,3.75837891e-03
2.00000000e-07,8.56000000e-03
2.50000000e-07,1.60522461e-02
3.00000000e-07,2.66118750e-02
3.50000000e-07,4.05101758e-02
4.00000000e-07,5.79200000e-02
4.50000000e-07,7.89227930e-02
5.00000000e-07,1.03515625e-01
5.50000000e-07,1.31618223e-01
6.00000000e-07,1.63080000e-01
6.50000000e-07,1.97687090e-01
7.00000000e-07,2.35169375e-01
7.50000000e-07,2.75207520e-01
8.00000000e-07,3.17440000e-01
8.50000000e-07,3.61470137e-01
9.00000000e-07,4.06873125e-01
9.50000000e-07,4.53203066e-01
1.00000000e-06,5.00000000e-01
1.05000000e-06,5.46796934e-01
1.10000000e-06,5.93126875e-01
1.15000000e-06,6.38529863e-01
1.20000000e-06,6.82560000e-01
1.25000000e-06,7.24792480e-01
1.30000000e-06,7.64830625e-01
1.35000000e-06,8.02312910e-01
1.40000000e-06,8.36920000e-01
1.45000000e-06,8.68381777e-01
1.50000000e-06,8.96484375e-01
1.55000000e-06,9.21077207e-01
1.60000000e-06,9.42080000e-01
1.65000000e-06,9.59489824e-01
1.70000000e-06,9.73388125e-01
1.75000000e-06,9.83947754e-01
1.80000000e-06,9.91440000e-01
1.85000000e-06,9.96241621e-01
1.90000000e-06,9.98841875e-01
1.95000000e-06,9.99849551e-01
2.00000000e-06,1.00000000e+00
1.00000000e-05,1.00000000e+00
