# Belova B2 mirror-compression ramp (dimensionless fraction, smooth).
# Half-cosine ramp with dense sampling for smoother interpolation.
t,frac
0.00000000e+00,0.00000000e+00
1.00000000e-07,1.54133000e-03
2.00000000e-07,6.15583000e-03
3.00000000e-07,1.38150400e-02
4.00000000e-07,2.44717400e-02
5.00000000e-07,3.80602300e-02
6.00000000e-07,5.44967400e-02
7.00000000e-07,7.36799200e-02
8.00000000e-07,9.54915000e-02
9.00000000e-07,1.19797020e-01
1.00000000e-06,1.46446610e-01
1.10000000e-06,1.75275980e-01
1.20000000e-06,2.06107370e-01
1.30000000e-06,2.38750720e-01
1.40000000e-06,2.73004750e-01
1.50000000e-06,3.08658280e-01
1.60000000e-06,3.45491500e-01
1.70000000e-06,3.83277320e-01
1.80000000e-06,4.21782770e-01
1.90000000e-06,4.60770450e-01
2.00000000e-06,5.00000000e-01
2.10000000e-06,5.39229550e-01
2.20000000e-06,5.78217230e-01
2.30000000e-06,6.16722680e-01
2.40000000e-06,6.54508500e-01
2.50000000e-06,6.91341720e-01
2.60000000e-06,7.26995250e-01
2.70000000e-06,7.61249280e-01
2.80000000e-06,7.93892630e-01
2.90000000e-06,8.24724020e-01
3.00000000e-06,8.53553390e-01
3.10000000e-06,8.80202980e-01
3.20000000e-06,9.04508500e-01
3.30000000e-06,9.26320080e-01
3.40000000e-06,9.45503260e-01
3.50000000e-06,9.61939770e-01
3.60000000e-06,9.75528260e-01
3.70000000e-06,9.86184960e-01
3.80000000e-06,9.93844170e-01
3.90000000e-06,9.98458670e-01
4.00000000e-06,1.00000000e+00
2.00000000e-05,1.00000000e+00
