# Belova B2 mirror-compression ramp (dimensionless fraction, smooth).
# Half-cosine ramp with dense sampling for smoother interpolation.
t,frac
0.00000000e+00,0.00000000e+00
5.00000000e-08,2.83353073e-09
1.00000000e-07,2.09929264e-07
1.50000000e-07,2.75876955e-06
2.00000000e-07,1.78065566e-05
2.50000000e-07,7.76192000e-05
3.00000000e-07,2.63144094e-04
3.50000000e-07,7.47620178e-04
4.00000000e-07,1.86004647e-03
4.50000000e-07,4.16664752e-03
5.00000000e-07,8.56000000e-03
5.50000000e-07,1.63335409e-02
6.00000000e-07,2.92063477e-02
6.50000000e-07,4.92549709e-02
7.00000000e-07,7.87137243e-02
7.50000000e-07,1.19629653e-01
8.00000000e-07,1.73404831e-01
8.50000000e-07,2.40316558e-01
9.00000000e-07,3.19152298e-01
9.50000000e-07,4.07102275e-01
1.00000000e-06,5.00000000e-01
1.05000000e-06,5.92897725e-01
1.10000000e-06,6.80847702e-01
1.15000000e-06,7.59683442e-01
1.20000000e-06,8.26595169e-01
1.25000000e-06,8.80370347e-01
1.30000000e-06,9.21286276e-01
1.35000000e-06,9.50745029e-01
1.40000000e-06,9.70793652e-01
1.45000000e-06,9.83666459e-01
1.50000000e-06,9.91440000e-01
1.55000000e-06,9.95833352e-01
1.60000000e-06,9.98139954e-01
1.65000000e-06,9.99252380e-01
1.70000000e-06,9.99736856e-01
1.75000000e-06,9.99922381e-01
1.80000000e-06,9.99982193e-01
1.85000000e-06,9.99997241e-01
1.90000000e-06,9.99999790e-01
1.95000000e-06,9.99999997e-01
2.00000000e-06,1.00000000e+00
1.00000000e-05,1.00000000e+00
